task,lt_hip_sagittal,lt_hip_frontal,lt_hip_transe,lt_knee_sagittal,lt_knee_frontal,lt_knee_transe,lt_ank_sagittal,lt_ank_frontal,lt_ank_transe,rt_hip_sagittal,rt_hip_frontal,rt_hip_transe,rt_knee_sagittal,rt_knee_frontal,rt_knee_transe,rt_ank_sagittal,rt_ank_frontal,rt_ank_transe,lt_plv_sagittal,lt_plv_frontal,lt_plv_transe,rt_plv_sagittal,rt_plv_frontal,rt_plv_transe
0,10.89098187,-10.00844004,11.89941623,2.775481201,8.637166469,-12.36407997,8.274657992,6.249858521,-20.70713502,11.09217026,-15.43053468,-2.512118115,5.139171231,7.240078064,-1.299448195,8.574115283,-1.159636245,-9.210213031,14.50915126,3.934873951,2.44494926,13.846542,-3.114976522,1.062407748
1,9.579735563,-13.98898889,11.9197268,3.859560935,10.34484698,-8.593748546,6.028196946,2.331349467,-20.88322331,17.06999017,-13.0454817,-2.138863735,12.25993786,11.50833917,-0.056868494,5.748751331,-1.104713616,-13.5777804,11.18785095,0.138003089,3.775027353,10.88117937,0.16622713,1.48767691
2,15.90382772,-15.01852834,12.12943307,6.093665281,14.70372883,-10.25127259,10.93233366,1.898933083,-22.36105937,16.17178473,-18.02754021,-4.264464831,10.86731086,13.05290636,0.085616747,10.62711911,-0.088287201,-9.434542226,12.99538678,4.188261911,3.58737691,16.37036536,-4.155633521,-3.039969067
3,18.97713266,-11.88707122,15.70219355,9.178642819,13.74265043,-9.489583092,6.301615615,1.651044027,-27.14131227,24.2855067,-13.69953326,0.747776196,17.98617378,14.20820572,1.95603601,8.159093469,0.073417732,-10.67440846,16.57561505,5.280080013,-0.113463494,13.17563886,-5.277655225,-2.875906747
4,23.73276663,-17.46686446,15.16006123,12.85286562,15.31859207,-4.662903458,6.977032352,6.341342315,-27.67430575,28.60005991,-17.96451706,-3.735324147,16.66974295,11.22565632,-0.920581661,11.519678,-0.499194233,-10.78732303,13.7826369,5.331752146,4.221201929,18.69550946,-4.719304849,-0.52401519
5,28.32119161,-17.84587668,14.97631848,10.63964637,16.77575571,-6.128882901,8.899253897,2.481618772,-29.12709901,28.53939715,-13.86999466,-2.809150742,24.10532796,11.72212557,5.117201819,13.3069157,-0.372618244,-11.90547586,16.74130917,4.345423689,0.138415822,16.8996125,-3.872086422,0.225784347
6,31.98500087,-14.63845239,12.03724784,13.10766552,23.55360852,-4.3246914,13.35621894,7.36913534,-24.95436548,32.48008286,-15.20343672,2.006315451,27.58240197,12.08565253,2.274131944,14.00878389,-0.590317896,-17.0372371,22.14710567,0.92016537,4.560660349,16.61938905,-4.307559334,-0.220028962
7,30.40493821,-15.52735815,12.00372824,17.65766944,20.72660737,1.34231735,9.336738373,6.755806378,-26.18621773,36.66427709,-15.23863561,3.565408637,25.79166232,17.78148705,9.05514016,9.455679319,0.26338515,-13.90278351,17.78897668,0.135725966,5.842497432,23.18977675,-4.364387432,-0.001239407
8,38.47587786,-17.70336651,16.44986167,20.20383256,22.99487107,3.163150898,11.06816937,3.440434762,-25.65789993,40.8652794,-15.63050428,4.539044254,30.3172785,14.53532997,9.73350257,14.4425592,4.012944566,-15.84455275,18.63057409,5.885614305,4.729908604,22.95244083,-0.379640696,-0.057869773
9,41.89288323,-18.76381528,11.80402755,26.52967169,27.15028476,2.512477362,9.88069832,2.795413337,-29.95886176,45.09663304,-19.79822629,4.752467801,31.35941873,15.81300631,11.59977229,13.77181277,-0.187055472,-16.58463188,21.13996242,6.156652017,1.10227367,21.48316744,-0.921952663,-2.017403769
