Frame,Left Hip Flexion (deg),Left Hip Adduction (deg),Left Hip Rotation (deg),Right Hip Flexion (deg),Right Hip Adduction (deg),Right Hip Rotation (deg),Left Knee Flexion (deg),Right Knee Flexion (deg)
1,-69.71867711282269,-30.897168356342924,-163.04571681514685,0.17150829219241387,0.15661648865587036,-89.82778372187093,109.64093540795598,10.155015727765363
2,-69.67623237079638,-30.721605931566955,-163.04571681514687,0.16848732120139917,0.1544832331778701,-89.83087793871033,109.53948858683738,10.158297274749582
3,-69.4437922990378,-30.79821780416061,-162.8226494047691,0.21756049321256277,0.19977956948850134,-89.7816482388096,109.90812035216764,10.44856808743666
4,-69.40163265474254,-30.800067397873903,-162.7847020922626,0.21496018888486126,0.19761889076576164,-89.78427895790732,109.91803614301037,10.405644011859778
5,-69.94289576616092,-31.06703497190763,-163.20879561468993,0.19920834068785592,0.18317871283236328,-89.80009030325864,111.10185983204096,11.904948738343323
6,-69.98492423700034,-31.015863137757268,-163.25674289142884,0.198082897236461,0.18225323641862828,-89.80122966294833,111.0702455175195,11.889179199752212
7,-69.63448935024837,-30.728833051434336,-163.0071442749156,0.19778679972190089,0.18195838053430372,-89.80152475449259,110.46146819203983,11.133084243634434
8,-69.58482936973051,-30.49962339549617,-163.01300311374186,0.19397161432350007,0.1787154070060987,-89.80537721022316,110.0840950260567,10.816819479443996
9,-69.2609938226828,-30.30623649795564,-162.7689847959897,0.1524034739895757,0.14038271565012442,-89.84708186869389,109.40424242774947,9.853409830437258
10,-69.01760181443602,-30.16985457042901,-162.58383015658595,0.1722654728207996,0.15867084232106196,-89.82715214884989,108.70564129109064,8.953200473640402
11,-69.04519605518159,-30.14503908857338,-162.61403217512705,0.17135502456129661,0.15782508941404327,-89.82806503561888,108.67982712299869,8.933746262788633
12,-69.20842612724871,-30.202755016592185,-162.74572328450964,0.1641779809203496,0.1511302161869434,-89.83525878532397,108.6635105513174,8.942896080948993
13,-69.38734739224758,-30.185071064308424,-162.90811358142264,0.15700716107502707,0.14462388748617636,-89.84246268883,108.6929648270661,9.073606444094573
14,-69.56055220931043,-30.23739665986943,-163.04939306873266,0.1423248816378551,0.13119294887790894,-89.85720283900557,108.85689209290086,9.316911287791763
15,-69.61549837202865,-30.198448432245925,-163.10649055403118,0.1415598606942282,0.13057607428813156,-89.85797817451386,108.79928865179853,9.3077809559721
16,-69.67340886272036,-30.183986707617677,-163.1606989224724,0.1482847927235435,0.13679660494136406,-89.85123281994136,108.97316775460742,9.561672002964228
17,-69.53539229400577,-30.150777759938443,-163.04649768347102,0.16734444270937038,0.15442947337897805,-89.832115519403,108.72896022485328,9.229410636625667
18,-69.38984146024332,-30.23165004435169,-162.89986414772076,0.15977914373441832,0.14754707202340028,-89.83971382199815,108.76629964897968,9.125276568913353
19,-69.5108141493928,-30.374916691913295,-162.97496496442218,0.16582952534798187,0.15326818900274258,-89.83365573530067,108.83244439236397,9.202453106199481
20,-69.5221909417757,-30.381128258129106,-162.98365466665658,0.16570873053587054,0.15309406597181802,-89.8337715598319,108.84068556470243,9.196961550487348
21,-69.52667970188436,-30.385342896752064,-162.98669361760076,0.1588971678919472,0.1468144820592486,-89.84060563801032,108.76357629486897,9.086309949511389
22,-69.53638557323723,-30.3765993095617,-162.99720892494645,0.15199772117427088,0.14047639661688338,-89.84752981393844,108.5980459964378,8.881358328698107
23,-69.48757292343744,-30.36212362230348,-162.9572371466647,0.18461259578990732,0.17061080995387282,-89.81481285467943,108.73333019821372,9.072044689999645
24,-69.4918471888897,-30.367964385634302,-162.9597246119159,0.1841428531977485,0.17015202643164706,-89.81528194954771,108.73960054471033,9.069247969235576
25,-69.79032800360065,-30.563701853779726,-163.18074011101564,0.1498465566563652,0.1386752241952196,-89.84970347785226,109.48310127080256,10.040257492008251
26,-69.80497047776369,-30.640884366113998,-163.17704213940343,0.14955181028680822,0.1385501044845739,-89.85001139101257,109.5050008404631,10.0437414218228
27,-70.28139858090562,-30.944554441013263,-163.53347877757744,0.08412226549585879,0.07798921965276981,-89.91563658450642,110.06148441539865,10.756766535008337
28,-70.30688994775558,-30.95517697053269,-163.5537470022013,0.09034976843353312,0.0837892945460992,-89.90939339833659,110.11159911431108,10.841363412715339
29,-70.32660549513913,-30.934063066422134,-163.57546283674165,0.09019780729588764,0.08365901407165009,-89.90954665688022,110.08878354728994,10.843109561139736
30,-70.32726170201975,-30.907610634287476,-163.5814958745514,0.08996654309828848,0.08347009234318205,-89.90978064894504,110.07115671385594,10.846458374324873
31,-70.14994920556249,-30.775097232770467,-163.45293140769283,0.09637034720588623,0.08940295924338414,-89.90335816061389,109.37673645486475,9.982299228762853
32,-69.88978467894383,-30.570949633777975,-163.26695005966891,0.08328509081048643,0.07735842033549556,-89.9164878791122,108.78139682604028,9.237641863326681
33,-69.92443799882457,-30.599041735789065,-163.29148464383226,0.08318781695326513,0.07733551737721171,-89.91659074944043,109.05908358738064,9.596965187464344
34,-70.04272888773319,-30.77032040352208,-163.35941433953556,0.044742895665382365,0.041589320344828526,-89.95513754198768,108.94436259583954,9.368746158879393
35,-70.32530692103997,-30.94873649038319,-163.57129607534108,0.08312300440196377,0.07727967200889235,-89.91665608052769,109.33852843412929,9.965367867817791
36,-70.47738261969218,-31.20916344292401,-163.65222296745287,0.10254487970355318,0.09531990385874853,-89.89718130460375,108.90180191580163,9.35266568523168
37,-70.43094430840482,-31.340552685390843,-163.58478412238853,0.1026512893449206,0.09545452865956776,-89.8970774125785,108.97912144136875,9.337325522124932
38,-69.59651702196886,-31.017779576046067,-162.91135230819296,0.17365882445526218,0.16156358951644187,-89.82588843162559,108.61584165040516,8.683585841975193
39,-69.58983896161243,-31.174356413462185,-162.87210605133143,0.16716692948912631,0.1557209852934191,-89.83241241770098,107.75766961504502,7.514733665382564
40,-69.88835494936136,-31.45526135864178,-163.07978360128516,0.14758314165838507,0.13774545015868792,-89.85206555899728,109.04458225708532,9.145354298453453
41,-69.83574703816065,-31.40921108258935,-163.04236137419187,0.14760664490898823,0.13809179967975102,-89.85206555899728,108.98703858679875,9.140926868909801
42,-69.75859325564319,-31.417418121190565,-162.97180311175904,0.1465746034898669,0.13719037153873143,-89.85310444304568,108.89263244675065,8.989348675300048
43,-70.33445515834231,-31.346138135758903,-163.49832868723746,0.2143988531532089,0.20103808417408048,-89.78515717974166,110.97328143155204,12.252882670570713
44,-70.44406124344394,-31.437554584711634,-163.57694696995532,0.21317789384211505,0.200073419659166,-89.78639294928608,110.89469351233392,12.263839734893317
45,-71.35136008078828,-32.56913409652191,-164.16561027940188,0.201273195778309,0.19022052981331064,-89.79840570193458,107.99913983652539,8.7592530827837
46,-72.58448243277536,-33.48993549757849,-165.09938318920757,0.13425314586007525,0.12640331590936082,-89.86550311203483,107.63284771434121,8.580910602884613
47,-72.82979250225368,-34.057546630444136,-165.22753678572474,-0.0,-0.0,-90.0,110.91161937574998,12.112230281119567
48,-72.87932489398018,-33.929640693849706,-165.2908633294925,-0.0,-0.0,-90.0,110.72200384078924,12.136158378946805
49,-73.61062644066793,-35.1712319252033,-165.75826373244846,0.310872164498711,0.28783895318447006,-89.68820628027757,105.51900521606181,6.079428232806713
50,-74.19795126851488,-35.16316811759431,-166.27902258314583,0.3484259249314338,0.3258483775157249,-89.65079191084371,104.0240724803235,4.786352495508758
51,-74.02054212115192,-34.02093581496804,-166.27902258314586,0.2890182207359336,0.2704394033705375,-89.71034361970932,103.10884244616132,3.794815491125467
52,-74.08219853153433,-33.041523770465574,-166.47350465217716,0.30483993489488953,0.28307703244693033,-89.6943235163127,102.49553153036733,3.311928617629135
53,-73.7251511124487,-32.40869977237209,-166.26213964823367,0.26276924729771084,0.2431588376268779,-89.73643998755634,100.77682666447406,1.0202663251924633
54,-73.66537737926535,-32.12192367084102,-166.255910110385,0.2629314349922054,0.2438456708456436,-89.73632165495245,100.62180345016728,1.020540193628383
