lefthip_angles_angles,leftknee_angles_angles,leftfoot_angles_angles,righthip_angles_angles,rightknee_angles_angles,rightfoot_angles_angles,leftshoulder_angles_angles,leftelbow_angles_angles,leftwrist_angles_angles,rightshoulder_angles_angles,rightelbow_angles_angles,rightwrist_angles_angles,hips_angles_angles,neck_angles_angles
[ 0.14505284  0.01169171 -0.00084946],[-0.47864642  0.13123133  0.03206366],[0. 0. 0.],[ 0.33338806 -0.15729121  0.02651823],[-0.75026228  0.29341499  0.11624543],[0. 0. 0.],[ 0.3763289  -0.34062982 -1.46913927],[-0.07139928  0.03639884 -0.94264779],[0. 0. 0.],[-0.14983566 -0.13430382  1.46121313],[-0.56012659 -0.01975459  0.06865752],[0. 0. 0.],[-3.1083585  -0.23760022  1.83267876],[-0.59795971 -0.21105889  0.6620338 ]
[ 0.19923594  0.00249584 -0.00024946],[-0.58280172  0.15349834  0.04612258],[0. 0. 0.],[ 0.2990014  -0.13784523  0.02079507],[-0.67853009  0.26984233  0.09573899],[0. 0. 0.],[ 0.37791064 -0.33677911 -1.45334993],[-0.07371554  0.0374033  -0.93882943],[0. 0. 0.],[-0.21015639 -0.19275684  1.48389644],[-0.50639959 -0.00984184  0.03803137],[0. 0. 0.],[-3.10525214 -0.23754224  1.82406247],[-0.58553383 -0.20558451  0.65945982]
[ 0.23629159 -0.00522996  0.00062079],[-0.63326133  0.16681563  0.05477125],[0. 0. 0.],[ 0.34575228 -0.15102261  0.02642014],[-0.75821575  0.28775336  0.11530448],[0. 0. 0.],[ 0.35839195 -0.32677373 -1.47674567],[-0.10614895  0.05841723 -1.00564375],[0. 0. 0.],[-0.19482967 -0.17822195  1.48130165],[-0.53079988 -0.01916179  0.07046948],[0. 0. 0.],[-3.1033242  -0.23338347  1.82298873],[-0.58547637 -0.20721009  0.66439917]
[ 0.16294249  0.01408366 -0.00114998],[-0.39964058  0.12628183  0.02560761],[0. 0. 0.],[ 0.27421413 -0.12858197  0.01776482],[-0.67593528  0.27286633  0.09642409],[0. 0. 0.],[ 0.34521779 -0.31554209 -1.47938533],[-0.14396049  0.08819524 -1.09835394],[0. 0. 0.],[-0.2707823  -0.25414258  1.50668676],[-0.43527769 -0.00318371  0.01439649],[0. 0. 0.],[-3.1008587  -0.20583761  1.82395797],[-0.59679682 -0.2150184   0.67492213]
[ 0.14019046  0.02273428 -0.00159625],[-0.34985001  0.11567701  0.02046586],[0. 0. 0.],[ 0.17917018 -0.09672458  0.00869506],[-0.50955615  0.23958783  0.0626774 ],[0. 0. 0.],[ 0.33633831 -0.31045766 -1.48940416],[-0.11945988  0.06128268 -0.94727137],[0. 0. 0.],[-0.28398645 -0.26913801  1.5164303 ],[-0.41121945  0.00263147 -0.01261734],[0. 0. 0.],[-3.0974499  -0.20902773  1.82567438],[-0.58734761 -0.21265086  0.67853878]
[ 0.09423834  0.03402624 -0.00160463],[-0.37592297  0.12239638  0.02330867],[0. 0. 0.],[ 0.12922816 -0.06502688  0.00420899],[-0.46647808  0.20675414  0.04928279],[0. 0. 0.],[ 0.34954169 -0.31733008 -1.47246119],[-0.11915654  0.06208752 -0.9599971 ],[0. 0. 0.],[-0.28345678 -0.26920637  1.51857645],[-0.41047331  0.00318234 -0.01528709],[0. 0. 0.],[-3.09397683 -0.21809317  1.8290984 ],[-0.57836951 -0.20843547  0.67612034]
[ 0.0961916   0.03549571 -0.00170869],[-0.3739212   0.12185787  0.02307938],[0. 0. 0.],[ 0.10532077 -0.04855431  0.00255976],[-0.41982751  0.18224512  0.03893064],[0. 0. 0.],[ 0.35824903 -0.32433008 -1.46954718],[-0.11844124  0.05865234 -0.91890136],[0. 0. 0.],[-0.22994077 -0.21551368  1.50550669],[-0.46772775 -0.00744783  0.03126172],[0. 0. 0.],[-3.09198506 -0.22007787  1.83006268],[-0.57591447 -0.20766574  0.67660413]
[ 0.09475903  0.03603705 -0.00170888],[-0.37232166  0.12457549  0.02349205],[0. 0. 0.],[ 0.13385268 -0.05250064  0.00351974],[-0.45483818  0.18685148  0.04336111],[0. 0. 0.],[ 0.35397261 -0.32188838 -1.47410122],[-0.11250398  0.05572016 -0.91908382],[0. 0. 0.],[-0.22595107 -0.20837212  1.48925412],[-0.46667683 -0.00850932  0.03579985],[0. 0. 0.],[-3.09028455 -0.21803597  1.83124149],[-0.57565684 -0.20771721  0.67705682]
[ 0.09997978  0.0344078  -0.00172165],[-0.39404289  0.13660913  0.02730947],[0. 0. 0.],[ 0.12827011 -0.04657716  0.00299187],[-0.44288991  0.18099671  0.040855  ],[0. 0. 0.],[ 0.34341359 -0.31640238 -1.48746784],[-0.11282284  0.05460172 -0.90082919],[0. 0. 0.],[-0.16852253 -0.15485651  1.48595839],[-0.52253157 -0.02247845  0.08402419],[0. 0. 0.],[-3.08815455 -0.20932707  1.83146574],[-0.5780222  -0.20986498  0.68084022]
[ 0.11508141  0.03229681 -0.0018606 ],[-0.42107452  0.14831746  0.03175162],[0. 0. 0.],[ 0.13181318 -0.04075428  0.00269024],[-0.44548085  0.17820865  0.04046566],[0. 0. 0.],[ 0.34054083 -0.3128806  -1.48466448],[-0.10850836  0.0526064  -0.90226115],[0. 0. 0.],[-0.18262545 -0.17019852  1.50001695],[-0.50185422 -0.01583652  0.0617635 ],[0. 0. 0.],[-3.08526959 -0.20881044  1.83160521],[-0.57264915 -0.20762338  0.68024744]
