frame,rt_hip_sagittal,rt_hip_frontal,rt_hip_transe,rt_knee_sagittal,rt_knee_frontal,rt_knee_transe,rt_ank_sagittal,lt_hip_sagittal,lt_hip_frontal,lt_hip_transe,lt_knee_sagittal,lt_knee_frontal,lt_knee_transe,lt_ank_sagittal
1,-8.984879776499353,51.700996335452274,4.277238807384409,53.42476088627149,0.0,-76.62709949681462,-31.13343367445385,19.62727691612278,45.12782129713648,3.3917739838537746,43.09471841935482,0.0,-93.38767014401016,-33.65046566785101
2,-7.052895486155164,51.18008773725238,5.61671517715743,50.845764179580314,0.0,-76.7827330014413,-34.52557459333456,20.462930484140053,43.38223842527524,4.268022227350726,43.58070260700198,0.0,-93.18476464730651,-33.18653827602637
3,-5.757945256725875,53.1113507664234,6.634243020112431,50.859629234784336,0.0,-77.321079089653,-37.715576630952604,20.85950794506928,42.95144734314177,4.629867509824037,42.959241832084736,0.0,-92.50728681129355,-34.699664935197966
4,-4.908472227645283,55.098819997773,7.442930773064287,51.66725698885968,-1.2722218725854067e-14,-77.88550623368688,-39.35869733803576,21.216363518073358,43.90907327651866,4.990689381235566,43.240938599344425,0.0,-92.02462847289983,-35.81944124809333
5,-4.633555505045932,56.29047010788605,7.58838476610912,51.26815502268579,0.0,-78.2183631158816,-39.48947678661944,21.32638972506051,46.17936950533047,5.267483759861241,47.32912090797387,1.2722218725854067e-14,-91.700750222765,-32.597010851504834
6,-4.517490851313876,56.27894332420789,7.611400564490543,51.39312012401276,1.2722218725854067e-14,-78.42284868223052,-39.36988288165351,21.642777037563068,47.13528056120114,5.465919918520367,50.00787222683305,0.0,-91.5961402686489,-30.876458627950385
7,-4.125110161216166,56.44630677557304,7.935553066319004,52.962285490305405,0.0,-79.10331550646603,-38.97490676072154,21.90128750246858,46.48983369570602,5.53510746622522,48.06317175245851,0.0,-91.69593662111755,-33.173205670423435
8,-3.505149034339998,57.986137562677804,8.589802609403328,54.34893171238082,0.0,-79.71852842794702,-39.77059294267949,22.325940785344056,48.091058906524545,5.9719418472429835,48.5859432846076,0.0,-91.27295454466271,-34.85048839947263
9,-2.7410182774930756,57.5596351054755,9.173547729565339,51.88515623485141,0.0,-79.15523286607123,-43.714498262821756,22.860252004955115,47.1916521573765,6.280539722523728,46.05689258753984,0.0,-91.34197830804308,-38.39782329617085
10,-2.6740647606005052,56.973857832175725,9.133645112931353,52.03797522951271,0.0,-79.2636638443245,-43.538118231986374,22.885683996113215,46.32803517451338,6.205023166709767,45.375360869252134,1.2722218725854067e-14,-91.4399365251878,-38.786675590334106
11,-2.5245411405575062,57.10003349022188,9.218677531204932,52.04360847219466,0.0,-79.39893262905522,-43.78271559147714,22.887687348911307,46.0716278669069,6.176466928428334,44.861326998873146,0.0,-91.48851843252866,-39.17179786435732
12,-2.460320441164677,57.376225782359484,9.233766099253966,52.895169984359846,1.2722218725854067e-14,-79.87446101704246,-42.656952916788796,22.884858248862813,46.51132544416248,6.2162315114474715,45.706900742830534,1.2722218725854067e-14,-91.49308829074265,-38.25402440249303
13,-2.26018896828862,58.25634889168428,9.44349161120526,53.03628961623921,0.0,-80.08060117817975,-43.000242827684424,23.114323112585634,48.362150331846195,6.556247359441409,46.86151478240119,1.2722218725854067e-14,-91.21781927635094,-38.52898927576867
14,-1.9585325150419366,59.175179681855155,9.800787330200613,53.08470330512184,-1.2722218725854067e-14,-80.20471849023238,-43.708293653340476,23.444493568211143,50.37600097353629,7.046586507299014,48.36197342316309,0.0,-90.7724643547282,-38.85945147570628
15,-1.7824718557546995,59.781852790320805,9.99397068344449,54.39272574143028,0.0,-80.68023145763595,-42.863412810186,23.497301578193603,50.97463880494483,7.163961731194321,49.766816527163876,0.0,-90.59001798349911,-37.90836502246609
16,-1.5835936237325787,60.28524415215296,10.212376054212129,53.75056966767393,0.0,-80.50371683676651,-44.56376414560757,23.385841188032305,50.326404915659204,7.007383897122056,48.6357684214995,0.0,-90.60246240576558,-38.888038364792685
17,-1.9580123812626646,59.28454000699449,9.776496298393024,53.57358418394624,1.2722218725854067e-14,-80.29469020721636,-44.591923117345914,23.096096237013054,48.73374713444821,6.601978114876692,47.728812217556445,0.0,-90.61821309903524,-38.97490110269222
18,-2.14966933128506,59.19427900754779,9.60144628075299,53.895440566793255,1.2722218725854067e-14,-80.33056951434216,-44.10149835037844,22.9790189527939,48.71818594464901,6.5041858181505114,47.421219244336484,0.0,-90.605333264241,-39.16852317776352
19,-2.226022260146596,58.89717705468181,9.50829326902945,53.49569583062262,1.2722218725854067e-14,-80.20260943759536,-44.38983112428954,22.991751691120836,48.51280608972478,6.470764436404721,46.957028816810265,-1.2722218725854067e-14,-90.66228400242886,-39.59927747494159
20,-2.1848186895597737,58.97334462549484,9.515819608005609,53.6713995369252,0.0,-80.33139594112396,-44.163205399626555,23.01835129588158,48.513083985825226,6.456393825165049,46.81155025185917,1.2722218725854067e-14,-90.76257628893956,-39.635057742540084
21,-2.3318812013338164,58.96869854794526,9.385365749847352,53.73634667009485,0.0,-80.29514092570106,-44.00105227491885,22.939805205981134,48.60890958720382,6.3910862722862785,46.91070921727603,0.0,-90.75343447596018,-39.5106463383652
22,-2.4331134508314056,58.69428154041672,9.25219155244293,53.79558594434202,0.0,-80.32150565506392,-43.607061862832566,22.805806617724112,47.80393233855135,6.191330260206217,46.61468397842223,0.0,-90.96795176297614,-38.96263375950121
23,-2.5919074403735607,58.2159448045233,9.012497097173652,53.98935127474606,0.0,-80.44369892315302,-42.777811095919496,22.50382954304179,46.15697778505785,5.800685576002141,45.79647974590265,0.0,-91.38217385228015,-38.01883571216523
24,-2.6331974799831537,57.9287786824754,8.897796940830505,53.66420456312774,0.0,-80.39155239963127,-42.78650896404046,22.452804947695327,45.6131284007309,5.682415528465717,45.1017985618327,0.0,-91.59239851195802,-38.15751173066198
25,-1.9581729488824873,57.07703777086313,9.319564505977425,52.83705459529008,0.0,-80.65723255018929,-43.34616343987085,22.914230547227323,44.70516956564025,5.957035211223629,43.89084374245486,0.0,-92.18574316466352,-39.236919800414135
26,-0.9988632775319571,57.1154381528934,10.060915763400162,52.58688546342294,0.0,-81.26340610292932,-43.375608023028434,23.516723894864548,44.91411540246606,6.465819604015551,44.13141512868244,0.0,-92.74223229252188,-39.202069215757064
27,0.1421126758401246,57.646213534559706,11.031412862354703,53.20774408441159,0.0,-82.35383682565643,-41.55089102783797,24.240753321253102,45.96819135718557,7.202913605392359,44.6176772333775,0.0,-93.72670478726933,-38.45407034339348
28,0.9704526605710475,58.306285975874154,11.824982364473714,53.892849482849016,1.2722218725854067e-14,-83.0947341817195,-40.536929416986666,24.680911049992602,46.48255423431877,7.657755253444957,45.797579074688464,0.0,-94.23578007194934,-37.03816392819436
29,1.6194306546956272,59.47956048792256,12.493514109742243,53.692053950197646,0.0,-83.16946983000724,-42.12185446392664,25.239702054954538,48.44620546062103,8.272182874244484,47.12754545686698,0.0,-93.72952745388348,-37.84442069084984
30,1.5481886182941609,59.19323448302905,12.391954185257518,53.7312382707029,0.0,-83.18195088753644,-41.95148471770033,25.215265210000894,48.209480445592206,8.230959638977637,47.24037935779135,1.2722218725854067e-14,-93.73910759022375,-37.65274600465291
