right_foot_index,right_ankle,right_knee,right_hip,angle_xy,angle_hip
"[0.5080170631408691, 0.9334407448768616]","[0.5268335342407227, 0.89149010181427]","[0.5310044884681702, 0.7355815172195435]","[0.5492991805076599, 0.58629310131073]",174.5459116792615,99.27981792688247
"[0.5079595446586609, 0.9340199828147888]","[0.5263622999191284, 0.892767071723938]","[0.5310602784156799, 0.7388190627098083]","[0.5494866371154785, 0.5862919092178345]",174.85957875616643,99.15038352236134
"[0.5078149437904358, 0.9343967437744141]","[0.5261827707290649, 0.8935848474502563]","[0.5311171412467957, 0.7400501370429993]","[0.5495337843894958, 0.5862138271331787]",175.0140421847981,99.06910934306808
"[0.5078057646751404, 0.9345028400421143]","[0.526057779788971, 0.8938534259796143]","[0.5311317443847656, 0.7400978207588196]","[0.5495916604995728, 0.5861889123916626]",175.0506714471225,99.08584713041904
"[0.5078219175338745, 0.9345827102661133]","[0.525989830493927, 0.89399653673172]","[0.531185507774353, 0.7401102781295776]","[0.5496327877044678, 0.5861887335777283]",175.0995274217936,99.07899833942501
"[0.5078285336494446, 0.9347532987594604]","[0.5257917642593384, 0.8939852118492126]","[0.5312062501907349, 0.7402505278587341]","[0.5496741533279419, 0.5861733555793762]",175.18216118258482,99.07995147699131
"[0.507892906665802, 0.9349035024642944]","[0.525617778301239, 0.8939914107322693]","[0.5312179327011108, 0.7402246594429016]","[0.5496737957000732, 0.5861845016479492]",175.25362318529147,99.07627447214813
"[0.5079964399337769, 0.9349707365036011]","[0.5255623459815979, 0.8939895033836365]","[0.5312220454216003, 0.7401795983314514]","[0.5496854186058044, 0.5861632227897644]",175.27139065876136,99.08128503703003
"[0.508082389831543, 0.9350777268409729]","[0.5254274606704712, 0.8939833045005798]","[0.5312246084213257, 0.7401658296585083]","[0.5496872067451477, 0.5861431360244751]",175.32297644898253,99.08054397204482
"[0.5080912709236145, 0.9351329207420349]","[0.5254046320915222, 0.8939836025238037]","[0.5312711000442505, 0.7402818202972412]","[0.549720823764801, 0.5861066579818726]",175.3618158813682,99.0654924061885
"[0.5081363916397095, 0.935174286365509]","[0.5253487825393677, 0.8939806222915649]","[0.531274139881134, 0.7402734756469727]","[0.5497599244117737, 0.5860317945480347]",175.37336809036282,99.07906435346395
