right_hip_xyz,right_knee_xyz,right_ankle_xyz,knee_angle_xyz
"[0.5441586971282959, 0.6456250548362732, -0.0004877554310951382]","[0.5264619588851929, 0.7982048392295837, -0.044549793004989624]","[0.5335197448730469, 0.9373916387557983, 0.07667619735002518]",122.29658600459861
"[0.5441885590553284, 0.6466386318206787, -0.001245495630428195]","[0.5265764594078064, 0.8020886778831482, -0.04183178395032883]","[0.5335196256637573, 0.9404363036155701, 0.08007724583148956]",123.44275905711409
"[0.5450512170791626, 0.6499975323677063, -0.0012621325440704823]","[0.5246399641036987, 0.8046275973320007, -0.06038997694849968]","[0.5334916710853577, 0.942462146282196, 0.08160236477851868]",112.67382665996098
"[0.5457465648651123, 0.6546554565429688, -0.0012517150025814772]","[0.5211636424064636, 0.8070430159568787, -0.0765800029039383]","[0.5335223078727722, 0.9429072737693787, 0.0790494754910469]",104.12850260645247
"[0.5459727644920349, 0.6587580442428589, -0.001143775531090796]","[0.5193482637405396, 0.8090755343437195, -0.08011127263307571]","[0.5335185527801514, 0.9438453316688538, 0.07694843411445618]",102.1078753313496
"[0.5460591316223145, 0.6647657752037048, -0.0008160583674907684]","[0.5174503922462463, 0.8113810420036316, -0.08648980408906937]","[0.5336089134216309, 0.9437444806098938, 0.07827149331569672]",97.6016755519865
"[0.5462106466293335, 0.6692413687705994, -0.0008136280812323093]","[0.5144563913345337, 0.8127431869506836, -0.11865262687206268]","[0.5336225628852844, 0.9436370730400085, 0.06525059044361115]",85.30098678324632
"[0.5464149713516235, 0.6739653944969177, -0.0006893550744280219]","[0.511872410774231, 0.8129972815513611, -0.1503918170928955]","[0.5336232781410217, 0.943767786026001, 0.05034511536359787]",75.33299973502172
"[0.5465625524520874, 0.6807734966278076, -0.00047644288861192763]","[0.5098165273666382, 0.8141971826553345, -0.18530812859535217]","[0.5336167812347412, 0.9427751898765564, 0.029860248789191246]",66.16977461209707
"[0.5467473268508911, 0.684120774269104, -0.00014212031965143979]","[0.5080459713935852, 0.8168168663978577, -0.1821773499250412]","[0.5336171388626099, 0.9427758455276489, 0.032932739704847336]",65.84974465599768
"[0.5467475652694702, 0.6888467669487, -0.0001473312295274809]","[0.5068178176879883, 0.8210481405258179, -0.2060784101486206]","[0.5336176156997681, 0.9427580237388611, 0.02943870797753334]",59.5523026444272
"[0.54676353931427, 0.6959434747695923, -0.00013282410509418696]","[0.504797101020813, 0.8226460814476013, -0.22587016224861145]","[0.5335574150085449, 0.9428441524505615, 0.021632064133882523]",54.772150727116056
"[0.5467647314071655, 0.7026193141937256, -7.899901538621634e-05]","[0.5022035241127014, 0.8231384754180908, -0.24040496349334717]","[0.5335434675216675, 0.9429672360420227, 0.01019816379994154]",51.7323116528546
"[0.5464974045753479, 0.7090576887130737, -0.00016691409109625965]","[0.5005614757537842, 0.8258673548698425, -0.25596243143081665]","[0.533568263053894, 0.9432202577590942, -0.009081615135073662]",49.491973807522
"[0.5462461113929749, 0.7173758745193481, -0.00024744917755015194]","[0.4998157024383545, 0.8284283876419067, -0.26980680227279663]","[0.5335752367973328, 0.9432145953178406, -0.03412983566522598]",47.86293362489665
"[0.5460056662559509, 0.7238590121269226, -0.000274985795840621]","[0.49915188550949097, 0.8316828608512878, -0.2763131558895111]","[0.5335049629211426, 0.9432263970375061, -0.022955546155571938]",44.67085922100391
"[0.5455859899520874, 0.7316593527793884, -0.0007186525035649538]","[0.4985715448856354, 0.8346889019012451, -0.2791954576969147]","[0.5331665277481079, 0.9432137608528137, -0.02251485362648964]",42.817372091704975
"[0.5447887182235718, 0.7391618490219116, -0.0013194403145462275]","[0.49780383706092834, 0.8358507752418518, -0.3033219873905182]","[0.5329969525337219, 0.9425652027130127, -0.03849512338638306]",39.348833267048924
"[0.5445781946182251, 0.7471279501914978, -0.0013554258039221168]","[0.49680328369140625, 0.8375798463821411, -0.28419357538223267]","[0.5329919457435608, 0.9420626163482666, -0.02619701623916626]",39.386434597080004
"[0.5442790985107422, 0.7571767568588257, -0.0017023503314703703]","[0.4959302544593811, 0.8390358686447144, -0.2848377227783203]","[0.5329992771148682, 0.9414176940917969, -0.02597411349415779]",37.3186099941098
"[0.5437520146369934, 0.7648341655731201, -0.0028733715880662203]","[0.49468737840652466, 0.8409827947616577, -0.2809430956840515]","[0.5329543948173523, 0.94118332862854, -0.021418098360300064]",36.032598516716355
"[0.5434895157814026, 0.7722758054733276, -0.0033894642256200314]","[0.49357399344444275, 0.840415358543396, -0.28280287981033325]","[0.5328847169876099, 0.9411522150039673, -0.027442391961812973]",34.826171645581084
"[0.5433109998703003, 0.7801628112792969, -0.003757269587367773]","[0.4926305413246155, 0.840523362159729, -0.28629058599472046]","[0.5328565835952759, 0.9412802457809448, -0.03153803199529648]",33.23517234197569
"[0.5433194041252136, 0.785784125328064, -0.00372554874047637]","[0.49240055680274963, 0.8410539031028748, -0.28541016578674316]","[0.5326868295669556, 0.9411623477935791, -0.028240064159035683]",31.99127390416789
"[0.543509304523468, 0.7942157983779907, -0.0037968866527080536]","[0.4922170042991638, 0.8412756323814392, -0.28887027502059937]","[0.5325506925582886, 0.9412450194358826, -0.03339680656790733]",30.38487565427938
"[0.5448583364486694, 0.7984684705734253, -0.0034616452176123857]","[0.49144166707992554, 0.84089595079422, -0.2806090712547302]","[0.5325402617454529, 0.9413596391677856, -0.039715372025966644]",30.919923077903512
"[0.5458424687385559, 0.8015947341918945, -0.0031356518156826496]","[0.49020513892173767, 0.8406314849853516, -0.26818886399269104]","[0.532537579536438, 0.9413962960243225, -0.038974545896053314]",31.610043994322385
"[0.5462058782577515, 0.8037002682685852, -0.0029064263217151165]","[0.4896194338798523, 0.840420663356781, -0.26595473289489746]","[0.5326130986213684, 0.9413939714431763, -0.04373076558113098]",31.834423429098447
"[0.5465964078903198, 0.8035035729408264, -0.0025344558525830507]","[0.4891752302646637, 0.8402624726295471, -0.2612065076828003]","[0.5325974225997925, 0.9416734576225281, -0.04240463301539421]",32.37005676415236
"[0.5467733144760132, 0.8030443787574768, -0.002354601863771677]","[0.4890795648097992, 0.8407398462295532, -0.26032981276512146]","[0.5324700474739075, 0.9419811964035034, -0.0415140800178051]",32.554341016005154
"[0.5469355583190918, 0.8017950057983398, -0.0020649998914450407]","[0.4892888069152832, 0.8407506942749023, -0.26158401370048523]","[0.5324363112449646, 0.9426906704902649, -0.04256383329629898]",32.908296903332584
"[0.5469270944595337, 0.7995352149009705, -0.0019082350190728903]","[0.4893619418144226, 0.8407304286956787, -0.26984328031539917]","[0.53238445520401, 0.9432485103607178, -0.0521315336227417]",33.35635236037313
"[0.5468348264694214, 0.7979351282119751, -0.00175652711186558]","[0.48977938294410706, 0.8410009741783142, -0.272832453250885]","[0.532365083694458, 0.9436689019203186, -0.04996742680668831]",33.199160263554184
"[0.5458309650421143, 0.7962216138839722, -0.0016401505563408136]","[0.49021124839782715, 0.8417835235595703, -0.2738516628742218]","[0.5322974920272827, 0.9437031149864197, -0.04704637452960014]",33.16560548389252
"[0.5450655817985535, 0.7884424328804016, -0.0016365607734769583]","[0.49079981446266174, 0.8433979153633118, -0.27362382411956787]","[0.5322037935256958, 0.9437135457992554, -0.037102118134498596]",33.90773685657297
"[0.5441545844078064, 0.7775763273239136, -0.002223496325314045]","[0.49188128113746643, 0.8447704911231995, -0.28643977642059326]","[0.5321686267852783, 0.9436227679252625, -0.02980799600481987]",33.95512675315016
"[0.5435085892677307, 0.7677186727523804, -0.0024337060749530792]","[0.492791086435318, 0.8453792929649353, -0.30205345153808594]","[0.5321775674819946, 0.9426609873771667, -0.03090622089803219]",33.90902549647261
"[0.5431652665138245, 0.7608168125152588, -0.0025814452674239874]","[0.49351683259010315, 0.8451858162879944, -0.30161231756210327]","[0.5321716666221619, 0.9423957467079163, -0.031688667833805084]",35.197193360256804
"[0.5431438088417053, 0.7510684132575989, -0.0025763160083442926]","[0.49406901001930237, 0.8434275984764099, -0.3051294982433319]","[0.532159149646759, 0.9419428706169128, -0.03215020149946213]",36.45859761329679
